model_name,storage_cost_bytes,prompt_len_theta,retrieval_cost_ms,original_sentence,reconstructed_sentence,is_perfect,semantic_similarity,is_semantically_equivalent
gpt2-medium_pruned_20,1419398987,20,1765.7396793365479,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 20 in ) , a head diameter of up to 3 centimetres ( 0 @.@ 5 in ) , and a length of up to 3 centimetres ( 0 @.@ 5 in ) . It has a smooth , black , or brownish @-@ brown colour , and a smooth , white , or greyish @-@ brown upper surface . The upper surface is covered with a layer of fine , white , or greyish @-@ brown scales . The upper surface is covered with a layer of fine , white , or greyish @-@ brown scales . The upper surface is covered with a layer of fine , white , or greyish",False,0.7213074564933777,False
gpt2-medium_pruned_20,1419398987,40,1505.815029144287,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) . It is a very large , robust , and robustly built animal , with a long , slender , and robust neck , a long , slender , and robust tail , and a long , slender , and robust back . It has a long , slender , and robust neck , a long , slender , and robust tail , and a long , slender , and robust back . 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
",False,0.7920211553573608,False
gpt2-medium_pruned_20,1419398987,100,734.8992824554443,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a thick , fibrous , fleshy , leathery , and fibrous skin . The flesh is white , and the flesh is thick , fibrous , and leathery . The flesh is very tough , and the flesh is very brittle . The flesh is very brittle , and the flesh",False,0.8786946535110474,False
gpt2-medium_pruned_20,1419398987,5,1043.7676906585693,"The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .","The first pair of pinnacles were discovered in the early 20th century , and the first two were named after the first two men who discovered them . The first pair was named after the first man who discovered them , and the second pair was named after the first man who discovered them . The first pair of pinnacles were discovered in the early 20th century , and the first two were named after the first two men who",False,0.2693605422973633,False
gpt2-medium_pruned_20,1419398987,10,978.8305759429932,"The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .","The first pair of pereiopods is armed with a pair of long , pointed beaks , and the second pair is armed with a pair of short , pointed beaks . The pereiopod is a very large , robust , and well @-@ developed animal , with a long , slender , and robust tail , a long , slender , and robust neck , and a long , slender , and robust tail . The",False,0.6853370070457458,False
gpt2-medium_pruned_20,1419398987,20,851.574182510376,"The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .","The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The second pair is armed with a pair of small , asymmetrical claws . The third pair is armed with a pair of small , asymmetrical claws . The fourth pair is armed with a pair of large , asymmetrical claws . The fifth pair is armed with a pair of large , asymmetrical claws . The sixth pair is armed with",False,0.7496192455291748,False
gpt2-medium_pruned_20,1419398987,40,593.653678894043,"The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .","The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the smaller one is the "" hook "" . The crusher is used for crushing prey , while the hook is used for catching prey . The pereiopod 's claws are also used for grabbing prey , and the hook is",False,0.8702412247657776,False
gpt2-medium_pruned_20,1419398987,100,0.0,"The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .","The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .",True,1.0,True
gpt2-medium_pruned_20,1419398987,5,890.941858291626,"The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .","The exoskeleton is a layer of tissue that covers the skeleton . It is composed of a layer of connective tissue , called the myeloblast , that forms the skeleton . The myeloblast is a layer of tissue that forms the skeleton of the skeleton . The myeloblast is a layer of tissue that forms the skeleton of the skeleton . ",False,0.3477921187877655,False
gpt2-medium_pruned_20,1419398987,10,828.2201290130615,"The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .","The exoskeleton is generally blue above , with a white or yellowish @-@ brown outer layer . The inner layer is a dark brown , and the outer layer is a pale yellowish @-@ brown . The inner layer is composed of a layer of fibrous tissue , which is covered by a layer of cartilage . The cartilage is composed of a",False,0.5457487106323242,False
gpt2-medium_pruned_20,1419398987,20,700.7789611816406,"The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .","The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The outer layer of the exoskeleton is composed of a layer of collagen , which is a protein that forms a bond with the surrounding collagen . The collagen is then broken down into amino acids , which are then used to form the outer layer of the skeleton . The outer layer",False,0.6141937375068665,False
gpt2-medium_pruned_20,1419398987,40,441.20335578918457,"The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .","The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red colour is a result of the presence of a pigment , which is a pigment that is not present in the flesh of lobsters . The red colour is due to the presence",False,0.9808756113052368,True
gpt2-medium_pruned_20,1419398987,100,0.0,"The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .","The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .",True,1.0,True
gpt2-medium_pruned_20,1419398987,5,777.0564556121826,"The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :","The closest relative of H. peregrina is the H. peregrina subspecies H. peregrina , which is found in the eastern United States . The subspecies is found in the eastern United States , and is a subspecies of H. peregrina . The subspecies is found",False,0.527901291847229,False
gpt2-medium_pruned_20,1419398987,10,711.1170291900635,"The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :","The closest relative of H. gammarus is the H. c. c. gammarus , which is found in the eastern United States . The species is a subspecies of H. c. c. gammarus , and is found in the eastern United States . The subspecies is also found in the western",False,0.7716484665870667,False
gpt2-medium_pruned_20,1419398987,20,582.3895931243896,"The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :","The closest relative of H. gammarus is the American lobster , Homarus americanus . The American lobster is a member of the genus Homarus , and is a member of the genus Homarus . The American lobster is a member of the genus Homarus , and is a member of the genus Homarus . 
",False,0.926260769367218,False
gpt2-medium_pruned_20,1419398987,40,326.5385627746582,"The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :","The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild . The American lobster is a very large , slender , and very fast @-@ growing species , with a maximum length",False,0.9838162660598755,True
gpt2-medium_pruned_20,1419398987,100,0.0,"The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :","The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :",True,1.0,True
gpt2-medium_pruned_20,1419398987,5,377.43210792541504,"The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .","The rostrum of the choir is a large , rectangular , rectangular , or rectangular @-@ shaped wooden box , usually made of wood , that is used to hold",False,0.19322723150253296,False
gpt2-medium_pruned_20,1419398987,10,312.1209144592285,"The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .","The rostrum of H. americanus bears a distinctive shape , with a long , straight , and narrow neck , a short , straight , and narrow neck , and",False,0.7249980568885803,False
gpt2-medium_pruned_20,1419398987,20,198.4555721282959,"The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .","The rostrum of H. americanus bears one or more spines on the underside , which are attached to the base of the skull . The spines are arranged",False,0.8314448595046997,False
gpt2-medium_pruned_20,1419398987,40,0.0,"The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .","The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .",True,1.0,True
gpt2-medium_pruned_20,1419398987,100,0.0,"The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .","The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .",True,1.0,True
gpt2-medium_pruned_20,1419398987,5,486.07826232910156,"The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .","The spines on the back of the neck are a distinctive feature of the species . The spines are a thick , black , fibrous , fibrous , and fibrous @-@ like tissue , and",False,0.48328307271003723,False
gpt2-medium_pruned_20,1419398987,10,420.03631591796875,"The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .","The spines on the claws of H. americanus are similar to those of H. cruzi , and are similar to those of H. cruzi . The spines on the claws of H. cru",False,0.7579473257064819,False
gpt2-medium_pruned_20,1419398987,20,289.0291213989258,"The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .","The spines on the claws of H. americanus are red or red @-@ tipped , and the spines on the claws of H. c. c. are white . The spines on the",False,0.9145157337188721,False
gpt2-medium_pruned_20,1419398987,40,0.0,"The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .","The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .",True,1.0,True
gpt2-medium_pruned_20,1419398987,100,0.0,"The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .","The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .",True,1.0,True
gpt2-medium_pruned_20,1419398987,5,408.45394134521484,"The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .","The underside of the claw is covered with a layer of fine hairs , which are used to attract insects . The underside of the claw is covered with a layer of fine hairs , which",False,0.34090089797973633,False
gpt2-medium_pruned_20,1419398987,10,342.2379493713379,"The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .","The underside of the claw of H. americanus is smooth , and the upper surface is smooth . The upper surface of the upper jaw is smooth , and the lower surface is smooth",False,0.5960630774497986,False
gpt2-medium_pruned_20,1419398987,20,211.0600471496582,"The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .","The underside of the claw of H. americanus is orange or red , while that of H. c. c. is yellowish . The upper surface of the upper jaw is",False,0.8208665251731873,False
gpt2-medium_pruned_20,1419398987,40,0.0,"The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .","The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .",True,1.0,True
gpt2-medium_pruned_20,1419398987,100,0.0,"The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .","The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .",True,1.0,True
gpt2-medium_pruned_20,1419398987,5,80.53183555603027,= = Life cycle = =,"= = Life cycle = = 

The first",False,0.8665508031845093,False
gpt2-medium_pruned_20,1419398987,10,0.0,= = Life cycle = =,= = Life cycle = =,True,1.0,True
gpt2-medium_pruned_20,1419398987,20,0.0,= = Life cycle = =,= = Life cycle = =,True,1.0,True
gpt2-medium_pruned_20,1419398987,40,0.0,= = Life cycle = =,= = Life cycle = =,True,1.0,True
gpt2-medium_pruned_20,1419398987,100,0.0,= = Life cycle = =,= = Life cycle = =,True,1.0,True
gpt2-medium_pruned_20,1419398987,5,1596.8561172485352,"Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleopods . Females carrying eggs are said to be "" berried "" and can be found throughout the year .","Female H. gammarus is a species of the genus H. gammarus , native to the Americas . It is a member of the genus H. gammarus , and is found in the Americas , Central America , and South America . It is a member of the genus H. gammarus , and is found in the Americas , Central America , and South America . 
 
 
 
 
 
 
  
  
  
  
  
  
  
   
   
       ",False,0.6244620680809021,False
gpt2-medium_pruned_20,1419398987,10,1536.8428230285645,"Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleopods . Females carrying eggs are said to be "" berried "" and can be found throughout the year .","Female H. gammarus reach sexual maturity when they are about 3 – 4 years old . Females are generally larger than males , and are generally larger than the average adult male . Females are generally larger than males , and are generally larger than the average adult male . 
 
 
 
 
 
 
 
  
  
  
  
  
  
  
   
   
                             ",False,0.8626556396484375,False
gpt2-medium_pruned_20,1419398987,20,1397.7060317993164,"Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleopods . Females carrying eggs are said to be "" berried "" and can be found throughout the year .","Female H. gammarus reach sexual maturity when they have grown to a carapace length of at least 3 cm ( 0 @.@ 8 in ) . Females are generally larger than males , with a maximum length of 3 @.@ 5 – 4 @.@ 5 cm ( 1 @.@ 0 – 1 @.@ 4 in ) . Females are larger than males in the same proportion , with a maximum length of 3 @.@ 5 – 4 @.@ 5 cm ( 1 @.@ 0 – 1 @.@ 4 in ) . Females are larger than males in the same proportion , with a maximum",False,0.8796423673629761,False
gpt2-medium_pruned_20,1419398987,40,1140.0628089904785,"Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleopods . Females carrying eggs are said to be "" berried "" and can be found throughout the year .","Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) . Females are generally larger than males , with a maximum length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) . Females are generally larger than males , with a maximum length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) . 
 
 
 
 
 
 
 
 
 
",False,0.8674421906471252,False
gpt2-medium_pruned_20,1419398987,100,356.3199043273926,"Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleopods . Females carrying eggs are said to be "" berried "" and can be found throughout the year .","Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleurocyst . The eggs hatch in about two weeks , and the young are born in about two weeks . The young are covered with",False,0.9652711749076843,True
