model_name,storage_cost_lambda,prompt_len_theta,retrieval_cost_ms,original_sentence,reconstructed_sentence,is_perfect,semantic_similarity
GPT2-medium (pruned 0d),1419398689,5,1078.6855220794678,"The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .","The first pair of pinnacles were built in the early 19th century by the British architect William H. Hutton , who was a member of the Royal Society of Architects . The first pair of pinnacles were built in the early 19th century by the British architect William H. Hutton , who was a member of the Royal Society of Architects . 
 
   
      ",False,0.0989915281534195
GPT2-medium (pruned 0d),1419398689,10,1006.6072940826416,"The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .","The first pair of pereiopods is armed with a pair of long , curved , serrated teeth . The teeth are attached to the upper jaw by a pair of long , curved , serrated teeth . The teeth are attached to the lower jaw by a pair of short , curved , serrated teeth . The teeth are attached to the upper jaw by a pair of long , curved , serrated teeth . The teeth are attached",False,0.7668524980545044
GPT2-medium (pruned 0d),1419398689,20,872.1027374267578,"The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .","The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The second pair of pereiopods is armed with a pair of small , asymmetrical claws . The third pair of pereiopods is armed with a pair of large , asymmetrical claws . The fourth pair of pereiopods is armed with a pair of small , asymmetrical claws . The fifth pair of pere",False,0.7438708543777466
GPT2-medium (pruned 0d),1419398689,40,609.8239421844482,"The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .","The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the smaller one is the "" hook "" . The crusher is the most powerful of the pair , and is capable of crushing up to 1 @,@ 000 kg ( 2 @,@ 000 lb ) of prey . The hook",False,0.837089478969574
GPT2-medium (pruned 0d),1419398689,100,0.0,"The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .","The first pair of pereiopods is armed with a large , asymmetrical pair of claws . The larger one is the "" crusher "" , and has rounded nodules used for crushing prey ; the other is the "" cutter "" , which has sharp inner edges , and is used for holding or tearing the prey . Usually , the left claw is the crusher , and the right is the cutter .",True,1.0000001192092896
GPT2-medium (pruned 0d),1419398689,5,919.1524982452393,"The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .","The exoskeleton is a complex structure that is composed of a series of bone @-@ like structures that are arranged in a series of rows and columns . The bones are arranged in a series of rows and columns , and the rows and columns are arranged in a series of rows and columns . The rows and columns are arranged in a series of rows and columns , and",False,0.35106486082077026
GPT2-medium (pruned 0d),1419398689,10,849.6878147125244,"The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .","The exoskeleton is generally blue above , with a white border . The innermost layer is a layer of white , with a black border . The outermost layer is a layer of white , with a black border . The innermost layer is a layer of white , with a black border . The outermost layer is a layer of white , with a black border .",False,0.5417326092720032
GPT2-medium (pruned 0d),1419398689,20,720.0663089752197,"The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .","The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The outer layer of the exoskeleton is white , and the inner layer is grayish . The inner layer is composed of a layer of white , gray , and black . The outer layer is composed of a layer of white , gray , and black . The inner layer is",False,0.626166582107544
GPT2-medium (pruned 0d),1419398689,40,455.7015895843506,"The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .","The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red colour is a result of the presence of the pigment melanin . The lobsters are also known to have a yellowish @-@ brown colour , which is due to",False,0.9704047441482544
GPT2-medium (pruned 0d),1419398689,100,0.0,"The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .","The exoskeleton is generally blue above , with spots that coalesce , and yellow below . The red colour associated with lobsters only appears after cooking . This occurs because , in life , the red pigment astaxanthin is bound to a protein complex , but the complex is broken up by the heat of cooking , releasing the red pigment .",True,1.0
GPT2-medium (pruned 0d),1419398689,5,798.2728481292725,"The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :","The closest relative of H. peregrina is the subfamily H. peregrinae , which includes the subfamily H. peregrinae @-@ subfamily H. peregrinae , and the subfamily H. peregrinae @-@ subfamily H.",False,0.5065323114395142
GPT2-medium (pruned 0d),1419398689,10,760.6804370880127,"The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :","The closest relative of H. gammarus is the subfamily H. gammarus , which includes H. gammarus , H. gammarus subfamily H. gammarus , and H. gammarus subfamily H. gammarus . The subfamily H. gammarus is a sub",False,0.7198448181152344
GPT2-medium (pruned 0d),1419398689,20,619.5201873779297,"The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :","The closest relative of H. gammarus is the American lobster , Homarus americanus . The species is found in the eastern United States , and is found in the eastern Atlantic Ocean . It is a common species in the eastern Atlantic , and is found in the eastern Atlantic Ocean . It is found in the eastern Atlantic Ocean",False,0.8969321250915527
GPT2-medium (pruned 0d),1419398689,40,346.8945026397705,"The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :","The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild . The American lobster is a small , slender , brownish @-@ brown , or black lobster with a white or",False,0.9804420471191406
GPT2-medium (pruned 0d),1419398689,100,0.0,"The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :","The closest relative of H. gammarus is the American lobster , Homarus americanus . The two species are very similar , and can be crossed artificially , although hybrids are unlikely to occur in the wild since their ranges do not overlap . The two species can be distinguished by a number of characteristics :",True,1.0
GPT2-medium (pruned 0d),1419398689,5,397.54772186279297,"The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .","The rostrum of the church is a large , rectangular , rectangular , rectangular , rectangular , rectangular , rectangular , rectangular , rectangular , rectangular , rectangular , rectangular , rectangular",False,0.19447031617164612
GPT2-medium (pruned 0d),1419398689,10,319.5617198944092,"The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .","The rostrum of H. americanus bears the name of the genus , and is a member of the genus H. americanus . It is a member of the",False,0.6760027408599854
GPT2-medium (pruned 0d),1419398689,20,187.9863739013672,"The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .","The rostrum of H. americanus bears one or more spines on the underside , which are attached to the base of the skull . The spines are arranged",False,0.8314449191093445
GPT2-medium (pruned 0d),1419398689,40,0.0,"The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .","The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .",True,1.0
GPT2-medium (pruned 0d),1419398689,100,0.0,"The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .","The rostrum of H. americanus bears one or more spines on the underside , which are lacking in H. gammarus .",True,1.0
GPT2-medium (pruned 0d),1419398689,5,494.1363334655762,"The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .","The spines on the fruit bodies are smooth and have a smooth , white to yellowish @-@ brown surface . The flesh is white , and the flesh is thick and fibrous . The flesh is very",False,0.39861586689949036
GPT2-medium (pruned 0d),1419398689,10,445.1487064361572,"The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .","The spines on the claws of H. americanus are similar to those of H. cruzi . The spines are smooth , and the claws are smooth . The spines are not fused , and the",False,0.7586976289749146
GPT2-medium (pruned 0d),1419398689,20,299.62706565856934,"The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .","The spines on the claws of H. americanus are red or red @-@ tipped , and are usually white . The spines are thick , and the claws are long and slender . The claws are",False,0.9049871563911438
GPT2-medium (pruned 0d),1419398689,40,0.0,"The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .","The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .",True,1.0000001192092896
GPT2-medium (pruned 0d),1419398689,100,0.0,"The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .","The spines on the claws of H. americanus are red or red @-@ tipped , while those of H. gammarus are white or white @-@ tipped .",True,1.0000001192092896
GPT2-medium (pruned 0d),1419398689,5,416.8553352355957,"The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .","The underside of the claw @-@ like tail is covered with a layer of fine hairs , which are used to attract insects . The tail is covered with a layer of fine hairs",False,0.3727065324783325
GPT2-medium (pruned 0d),1419398689,10,350.4939079284668,"The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .","The underside of the claw of H. americanus is smooth and smooth , with a smooth , white , or yellowish @-@ brown upper surface and a smooth , yellowish",False,0.7600933313369751
GPT2-medium (pruned 0d),1419398689,20,215.49391746520996,"The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .","The underside of the claw of H. americanus is orange or red , while that of H. c. c. is yellowish . The upper surface of the claw is smooth",False,0.8536145091056824
GPT2-medium (pruned 0d),1419398689,40,0.0,"The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .","The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .",True,1.0
GPT2-medium (pruned 0d),1419398689,100,0.0,"The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .","The underside of the claw of H. americanus is orange or red , while that of H. gammarus is creamy white or very pale red .",True,1.0
GPT2-medium (pruned 0d),1419398689,5,1631.2456130981445,"Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleopods . Females carrying eggs are said to be "" berried "" and can be found throughout the year .","Female H. gammaris is a species of the genus H. gammaris , found in the eastern United States . It is a species of the genus H. gammaris , and is found in the eastern United States . It is a member of the genus H. gammaris . 
 
  
                                                            ",False,0.5311428308486938
GPT2-medium (pruned 0d),1419398689,10,1566.2248134613037,"Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleopods . Females carrying eggs are said to be "" berried "" and can be found throughout the year .","Female H. gammarus reach sexual maturity when they are about 2 – 3 years old . Females are generally larger than males , and have a larger head , a longer neck , and a longer tail . Females have a larger head , a longer neck , and a longer tail than males . Females have a larger head , a longer neck , and a longer tail than males . Females have a larger head , a longer neck , and a longer tail than males . 
 
  
  
  
  
   
               ",False,0.8483257293701172
GPT2-medium (pruned 0d),1419398689,20,1435.636281967163,"Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleopods . Females carrying eggs are said to be "" berried "" and can be found throughout the year .","Female H. gammarus reach sexual maturity when they have grown to a carapace length of at least 3 cm ( 0 @.@ 8 in ) . Females are generally larger than males , with a maximum length of 3 @.@ 5 – 4 @.@ 5 cm ( 0 @.@ 8 – 1 @.@ 0 in ) . Females are generally larger than males , with a maximum length of 3 @.@ 5 – 4 @.@ 5 cm ( 0 @.@ 8 – 1 @.@ 0 in ) . Females are generally larger than males , with a maximum length of 3 @.@",False,0.875698447227478
GPT2-medium (pruned 0d),1419398689,40,1191.974401473999,"Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleopods . Females carrying eggs are said to be "" berried "" and can be found throughout the year .","Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) . Females are generally larger than males , with a maximum length of about 80 millimetres ( 3 @.@ 1 in ) . Females are generally larger than males , with a maximum length of about 80 millimetres ( 3 @.@ 1 in ) . Females are generally larger than males , with a maximum length of about 80 millimetres ( 3 @.@ 1 in ) . Females are generally larger than males , with",False,0.8563333749771118
GPT2-medium (pruned 0d),1419398689,100,376.6496181488037,"Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleopods . Females carrying eggs are said to be "" berried "" and can be found throughout the year .","Female H. gammarus reach sexual maturity when they have grown to a carapace length of 80 – 85 millimetres ( 3 @.@ 1 – 3 @.@ 3 in ) , whereas males mature at a slightly smaller size . Mating typically occurs in summer between a recently moulted female , whose shell is therefore soft , and a hard @-@ shelled male . The female carries the eggs for up to 12 months , depending on the temperature , attached to her pleurocyst . The eggs hatch in about two weeks , and the young are born in about two weeks . The young are covered with",False,0.9652712345123291
GPT2-medium (pruned 0d),1419398689,5,2176.5432357788086,"The eggs hatch at night , and the larvae swim to the water surface where they drift with the ocean currents , preying on zooplankton . This stage involves three moults and lasts for 15 – 35 days . After the third moult , the juvenile takes on a form closer to the adult , and adopts a benthic lifestyle . The juveniles are rarely seen in the wild , and are poorly known , although they are known to be capable of digging extensive burrows . It is estimated that only 1 larva in every 20 @,@ 000 survives to the benthic phase . When they reach a carapace length of 15 mm ( 0 @.@ 59 in ) , the juveniles leave their burrows and start their adult lives .","The eggs hatch at night and are laid in a single layer of soil . The first brood is laid in the morning , and the second in the afternoon . The first brood is the most important , and the second is the least important . The first brood is the most important because it is the only brood that can survive the winter . The second brood is the least important because it is the only brood that can survive the winter . The first brood is the most important because it is the only brood that can survive the winter . The second brood is the least important because it is the only brood that can survive the winter . The first brood is the most important because it is the only brood that can survive the winter . The second brood is the least important because it is the only brood that can survive the",False,0.3722439408302307
GPT2-medium (pruned 0d),1419398689,10,2013.6950016021729,"The eggs hatch at night , and the larvae swim to the water surface where they drift with the ocean currents , preying on zooplankton . This stage involves three moults and lasts for 15 – 35 days . After the third moult , the juvenile takes on a form closer to the adult , and adopts a benthic lifestyle . The juveniles are rarely seen in the wild , and are poorly known , although they are known to be capable of digging extensive burrows . It is estimated that only 1 larva in every 20 @,@ 000 survives to the benthic phase . When they reach a carapace length of 15 mm ( 0 @.@ 59 in ) , the juveniles leave their burrows and start their adult lives .","The eggs hatch at night , and the larvae swim to the surface of the water to feed . The larvae feed on the algae and other plankton , and the larvae feed on the algae and other plankton . The larvae feed on the algae and other plankton until they are exhausted . The larvae then leave the algae and other plankton to feed on the plankton . The larvae then return to the surface to feed on the algae and other plankton . The larvae then return to the surface to feed on the algae and other plankton . The larvae then return to the surface to feed on the algae and other plankton . The larvae then return to the surface to feed on the algae and other plankton . The larvae then return to the surface to feed on the algae and other plankton .",False,0.49080774188041687
